TRIP_ID,GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,FEMALE
0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,112,48,120,63,52,20,0,117,65,2,1
1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,48,30,60,49,10,0,117,84,2,1
2,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,48,60,67,58,30,0,117,52,2,1
3,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,40,30,63,52,20,0,72,52,2,1
4,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,36,60,63,42,20,0,90,84,2,1
5,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,112,36,120,60,49,10,0,90,52,2,1
6,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,48,120,67,58,10,0,72,65,2,1
7,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,36,30,67,43,30,0,90,65,1,1
8,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,40,60,60,46,10,0,72,65,2,1
9,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,184,62,120,76,70,20,0,0,0,2,1
10,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,62,30,70,66,10,0,0,0,2,1
11,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,213,62,60,84,82,30,0,0,0,2,1
12,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,52,30,76,72,20,0,0,0,2,1
13,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,213,47,60,76,53,20,0,0,0,2,1
14,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,184,47,120,70,66,10,0,0,0,2,1
