No.,demographic_prompt,other_prompt,target,persona
1,The male is a 24-year‑old physician without a university degree and has above‑median income.,The male is unsure whether COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,1,"The individual appears to have a cautious but generally supportive attitude towards COVID-19 vaccination, recognizing its preventive potential and safety while remaining uncertain about the threat level posed by the virus."
2,The male is a 27-year‑old physician without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,1,"The individual is a health-conscious physician who strongly trusts the effectiveness and safety of COVID-19 vaccines and believes in their ability to prevent severe illness, indicating a proactive stance toward vaccination despite some concerns about equal access."
3,The male is a 29-year‑old physician without a university degree and has above‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat disagrees that the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays less attention to new vaccine information than a year ago.,1,"The individual is a somewhat cautious physician who recognizes COVID-19 as a serious threat and believes in the vaccine's preventive role, yet harbors doubts about vaccine safety and pays less attention to new information."
4,The male is a 34-year‑old physician without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male is unsure whether their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,1,"The individual is a physician who recognizes the serious threat of COVID-19 and supports vaccination as a preventive measure, though he has some reservations about vaccine safety and equitable access."
5,The male is a 36-year‑old physician without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,1,"The individual is a cautious and informed advocate for COVID-19 vaccination, believing strongly in its safety and efficacy as a necessary protection against the disease and its long-term effects."
6,The male is a 40-year‑old physician without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,1,"The individual is a confident advocate for COVID-19 vaccination, perceiving it as a crucial and safe preventative measure, and trusts both the science and government efforts regarding vaccine distribution."
7,The male is a 33-year‑old nurses without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,1,"The individual is a safety-conscious healthcare worker who strongly believes in the effectiveness and safety of COVID-19 vaccinations, trusts government delivery, and is increasingly attentive to vaccine information."
8,The male is a 54-year‑old nurses without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,1,"The individual is a cautious yet informed pro-vaccine advocate who recognizes the severe threat of COVID-19 and trusts the safety and efficacy of vaccines, especially in light of recent personal experiences with the virus."
9,The male is a 20-year‑old other healthcare worker without a university degree and has above‑median income.,The male somewhat disagrees that COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat disagrees that the available vaccines are safe. The male is unsure whether their government can deliver vaccines equally to everyone. The male somewhat disagrees that the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 more than a year ago. The male pays about the same attention to new vaccine information as a year ago.,1,"This individual exhibits a cautious and ambivalent attitude towards COVID-19 vaccination, expressing doubts about vaccine safety and the government's ability to distribute vaccines fairly, while acknowledging some recognition of the vaccine's potential benefits against long COVID."
10,The male is a 28-year‑old other healthcare worker without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays less attention to new vaccine information than a year ago.,1,The individual is a health-conscious male healthcare worker who strongly trusts the effectiveness and safety of COVID-19 vaccines while being less responsive to new vaccine information.
11,The male is a 53-year‑old other healthcare worker without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays more attention to new vaccine information than a year ago.,1,"The individual is a cautious yet confident advocate for COVID-19 vaccination, perceiving it as a necessary and safe measure to combat a significant health threat."
